ask_content,lastAnswerTime,reply_content,replycreatedTime,replymodifiedTime
请问十个月宝宝便秘严重一天吃几袋需要空腹吃吗？,2019-10-18 23:46:52,早晚各一次吧,2019-10-18 22:03:42,2019-10-18 23:46:52
我家宝宝吃了不消化老是吐奶可以喝吗？,2019-10-20 20:56:35,可以的,2019-10-20 19:28:52,2019-10-20 20:56:35
益生菌粉和冲剂有什么区别？新生儿是不是对可以吃,1970-01-01 08:00:00,感觉吃这个便秘不知道管用。。你们的呢,2019-10-19 11:36:04,2019-10-19 14:41:09
未满月的宝宝总拉稀，喝这个管用吗？,2019-10-19 13:58:40,可以给孩子加点益生菌，有益无害,2019-10-19 10:30:02,2019-10-19 13:58:40
三个多月宝宝总是拉沫沫便，吃这个好用吗？,2019-10-18 15:50:10,我家是大便次数多，大便带泡泡，吃一顿就好，大便也规律了，但是不吃隔几天又拉。,2019-10-15 13:44:11,2019-10-15 14:34:06
五个月拉肚子吃什么？,2019-10-19 17:03:08,调节肠胃喝奶味菌粉,2019-10-19 11:39:51,2019-10-19 14:33:47
你们收到是19年的货吗？？？,2019-10-17 15:30:58,是的,2019-10-13 20:38:21,2019-10-14 00:16:58
你好，菌粉和冲剂什么区别,2019-10-18 23:42:23,菌粉是调理肠道的，冲剂是提高免疫力和抵抗力的,2019-10-18 22:07:50,2019-10-18 23:42:23
宝宝七个月，一天喝四包会不会多啊，宝宝便秘,2019-10-17 15:26:54,有点多了，一天两包还算可以,2019-10-17 14:27:01,2019-10-17 15:26:54
对便秘有效果吗,2019-10-20 17:59:07,我儿子吃了也有点效果的,2019-10-20 16:06:43,2019-10-20 17:59:07
冲剂和菌粉有什么区别,2019-10-18 23:45:19,冲剂是提高免疫力和抵抗力，菌粉是调理肠道的,2019-10-18 22:05:14,2019-10-18 23:45:19
我买的原味，怎么感觉不容易化开，有没有类似的,2019-10-19 17:05:43,奶味的还好,2019-10-19 14:35:25,2019-10-19 17:05:43
请问一包大概多少水适合啊,2019-10-17 05:24:54,我用小勺子三勺水 因为我闺女喂多了就不吃了 水少一点完全溶解了就弄给特喝,2019-08-23 21:51:27,2019-08-23 22:28:50
怎么服用，一天几包,2019-10-19 16:28:43,一天一包,2019-10-19 14:36:45,2019-10-19 16:28:43
需要吃多久,2019-10-19 16:37:15,可以一直吃，但是后面慢慢减少，这个都有依赖性的,2019-10-19 14:37:18,2019-10-19 16:37:15
宝宝三个月每次粑粑都拉的很辛苦，有时一天拉一次有时两天拉一次，可以吃这个吗？,2019-10-21 15:25:47,有效果吃了一个星期就正常了,2019-09-08 19:43:54,2019-09-09 01:24:44
宝宝涨肚子可以喝这个嘛,2019-10-08 17:02:12,可以喝，就是调节肠道的。,2019-10-08 16:37:52,2019-10-08 17:02:12
可以倒在奶粉里一起喝吗？,2019-10-17 22:24:26,是的，奶粉温度降到40&deg;左右再倒,2019-10-17 21:20:13,2019-10-17 22:24:26
38岁的成年人长期腹胀，可以吃这个吗？,2018-10-23 10:23:03,这是儿童得，成人还是吃成人的吧,2018-10-23 10:23:03,2018-10-23 10:23:15
6岁孩子积食，不爱吃饭，吃这个有效果吗，合生元，康萃乐 ，纽曼思那个好,2019-09-16 11:53:15,我觉得这个益生菌是属于慢效果，挺好的，不像别的立马有效，但是停了之后又会恢复原样,2019-08-18 19:09:04,2019-08-19 00:24:34
小孩才一个多月，母乳喂养，总是肠胀气，肠绞痛，不知道吃这个能不能好？这么小的婴儿能吃吗？,2019-09-18 13:06:12,别的我不知道，我家宝宝肠胀气，我表妹家宝宝肠绞痛，都是哭闹不睡觉，怎么哄都不行，这个很管用的，合生元益生菌好像新生儿都可以用的吧？问过客服，说0岁都可以用,2018-04-30 15:23:02,2018-04-30 17:42:26
有吃了过敏的吗,2019-09-12 06:54:35,没有，宝宝一直在吃。,2019-09-12 06:50:45,2019-09-12 06:54:35
菌粉不带蓝帽子吗,2019-10-09 11:11:51,独立小包装的,2018-12-14 11:06:31,2018-12-14 11:06:35
黄疸高,2019-09-30 08:05:34,多喝水,2019-09-30 06:28:33,2019-09-30 08:05:34
我家孩子经常肚子疼，吃这个能管用不,2019-10-11 14:41:19,不管用，不要完全依靠这个，还是去医院吧,2019-10-11 14:03:05,2019-10-11 14:41:19
1岁9个月的宝宝肠胃不好喝这个有效果吗？,2019-09-18 22:05:53,可以喝，我家大宝一直喝这个不错，现在二宝也一直和这个,2019-09-18 21:20:00,2019-09-18 22:05:53
两个月的宝宝能吃吗？,2019-10-16 10:42:53,能吃,2019-10-16 09:05:38,2019-10-16 10:42:53
一次加多少水，宝宝五个月,2019-10-21 15:22:00,我直接加奶粉里,2019-10-16 09:06:01,2019-10-16 10:40:42
宝宝10个月，吃这个一次半包还是一包？,2019-10-15 18:17:15,一包员应该可以,2019-10-15 16:49:27,2019-10-15 18:17:15
两个月确定能吃吗？,2019-10-17 16:24:24,我宝宝四十天开始吃的，一天两次，有时候忘记了就一次，吃了整整三盒48包的。现在四个多月了，每天拉一次。母乳喂养的，我现在吃啥宝宝都不会拉肚子。,2019-07-31 21:29:49,2019-07-31 21:29:55
6岁孩子积食，不爱吃饭，吃这个有效果吗，合生元，康萃乐 ，纽曼思那个好,2019-09-19 00:00:50,其实效果不大，毕竟是保健品，积食最好去看看医生，,2019-09-18 22:22:26,2019-09-19 00:00:50
八个月的宝宝一次吃多少,2019-10-14 12:23:59,我家的一直都是半包,2019-10-14 09:48:48,2019-10-14 12:23:58
9岁的小孩可以吃吗？,2019-10-18 16:23:08,应该可以吧，我孩子两岁,2019-09-16 12:58:28,2019-09-16 13:24:48
宝宝刚满月可以吗？吃半包可以吗？,2019-10-16 01:04:33,一包，少水，水温要37、8度，可以买个恒温壶调节水温，可以看到几度！,2019-09-10 15:10:44,2019-09-10 16:09:00
10岁孩子能吃吗,2019-09-20 19:42:17,这个是0-7岁的,2019-09-20 16:14:35,2019-09-20 19:42:17
宝宝十个月了，最近半个月每天大便次数在四五次左右，但是都是正常的便便，不稀，请问喝这个益生菌有用吗？,2019-10-09 16:17:08,我家买来是用一个小杯子，每次冲一些，直接到给小孩喝，没有用多水，，感觉效果还可以。\n是搭配喝的，早上原味，晚上奶味,2019-10-09 15:20:01,2019-10-09 16:17:08
多大宝宝可以吃这个益生菌啊,2019-09-11 15:36:52,都可以吃吧,2019-09-11 14:42:48,2019-09-11 15:36:52
