"word","id","nature","index_word","frequency"
"爱理不理",1,"l",10,1
"包装",1,"v",54,21
"本店",1,"n",21,55
"边框",1,"n",4,6
"边框",1,"n",13,6
"边框",1,"n",8,6
"边框",1,"n",15,6
"不断加强",1,"i",49,27
"不断完善",1,"l",58,24
"不好",1,"d",19,74
"拆封",1,"v",26,134
"店",1,"n",23,57
"订单",1,"n",41,47
"订单",1,"n",35,47
"分配",1,"vn",36,7
"更好",1,"d",60,58
"供应商",1,"n",71,135
"购物",1,"n",61,123
"购物",1,"n",20,123
"还会",1,"x",39,4
"环节",1,"n",56,20
"回复",1,"v",69,31
"会为",1,"x",73,43
"货是",1,"x",6,1
"机器人",1,"n",62,5
"价钱",1,"n",9,2
"解答",1,"v",70,48
"解决",1,"v",67,48
"解决问题",1,"n",63,4
"金属",1,"n",12,7
"金属",1,"n",7,7
"流程",1,"n",32,147
"培训",1,"vn",45,41
"配送",1,"v",43,27
"配送",1,"v",55,27
"配送",1,"v",42,27
"朋友",1,"n",2,3
"品质",1,"n",34,148
"奇怪",1,"v",16,1
"全新",1,"d",27,137
"确保",1,"v",33,154
"确保",1,"v",46,154
"人工",1,"n",65,5
"三包",1,"m",29,187
"上当",1,"v",1,1
"生产",1,"vn",53,4
"生活",1,"vn",74,246
"师傅",1,"nr",44,32
"时",1,"n",30,161
"收到",1,"v",5,19
"手中",1,"s",48,7
"水平",1,"n",52,43
"送达",1,"v",47,8
"塑料",1,"n",14,2
"塑料",1,"n",3,2
"所售",1,"v",24,55
"提供",1,"v",59,79
"提升",1,"v",51,48
"图片",1,"n",17,6
"完善",1,"v",38,35
"为证",1,"x",18,1
"未",1,"d",25,139
"系统",1,"n",37,40
"详细",1,"ad",72,192
"意识",1,"n",50,27
"运行",1,"v",40,11
"这款",1,"r",11,4
"针对性",1,"n",68,22
"正品",1,"n",22,213
"正品",1,"n",28,213
"质量检查",1,"n",31,147
"中",1,"f",57,135
"转接",1,"v",64,1
"状况",1,"n",66,19
"版本",2,"n",34,25
"层次",2,"m",14,4
"超高",2,"v",9,7
"搭配",2,"v",16,5
"带来",2,"v",25,90
"方式",2,"n",39,9
"感更强",2,"x",21,3
"高清",2,"nr",29,25
"更新",2,"d",38,18
"购物",2,"n",1,123
"观看",2,"v",22,33
"观看",2,"v",28,33
"观赏",2,"v",31,15
"画面",2,"n",19,50
"画面",2,"n",12,50
"画质",2,"n",11,13
"环绕",2,"v",26,3
"会为",2,"x",41,43
"流程",2,"n",6,147
"片源",2,"n",30,28
"品质",2,"n",8,148
"屏幕",2,"n",18,42
"清",2,"t",10,9
"清晰",2,"a",13,29
"曲面",2,"n",17,5
"确保",2,"v",7,154
