"id","word","nature","index_word"
1,"上当","v",1
1,"朋友","n",2
1,"塑料","n",3
1,"边框","n",4
1,"收到","v",5
1,"货是","x",6
1,"金属","n",7
1,"边框","n",8
1,"价钱","n",9
1,"爱理不理","l",10
1,"这款","r",11
1,"金属","n",12
1,"边框","n",13
1,"塑料","n",14
1,"边框","n",15
1,"奇怪","v",16
1,"图片","n",17
1,"为证","x",18
1,"不好","d",19
1,"购物","n",20
1,"本店","n",21
1,"正品","n",22
1,"店","n",23
1,"所售","v",24
1,"未","d",25
1,"拆封","v",26
1,"全新","d",27
1,"正品","n",28
1,"三包","m",29
1,"时","n",30
1,"质量检查","n",31
1,"流程","n",32
1,"确保","v",33
1,"品质","n",34
1,"订单","n",35
1,"分配","vn",36
1,"系统","n",37
1,"完善","v",38
1,"还会","x",39
1,"运行","v",40
1,"订单","n",41
1,"配送","v",42
1,"配送","v",43
1,"师傅","nr",44
1,"培训","vn",45
1,"确保","v",46
1,"送达","v",47
1,"手中","s",48
1,"不断加强","i",49
1,"意识","n",50
1,"提升","v",51
1,"水平","n",52
1,"生产","vn",53
1,"包装","v",54
1,"配送","v",55
1,"环节","n",56
1,"中","f",57
1,"不断完善","l",58
1,"提供","v",59
1,"更好","d",60
1,"购物","n",61
1,"机器人","n",62
1,"解决问题","n",63
1,"转接","v",64
1,"人工","n",65
1,"状况","n",66
1,"解决","v",67
1,"针对性","n",68
1,"回复","v",69
1,"解答","v",70
1,"供应商","n",71
1,"详细","ad",72
1,"会为","x",73
1,"生活","vn",74
2,"购物","n",1
2,"正品","n",2
2,"三包","m",3
2,"时","n",4
2,"质量检查","n",5
2,"流程","n",6
2,"确保","v",7
2,"品质","n",8
2,"超高","v",9
2,"清","t",10
2,"画质","n",11
2,"画面","n",12
2,"清晰","a",13
2,"层次","m",14
2,"细节","n",15
2,"搭配","v",16
2,"曲面","n",17
2,"屏幕","n",18
2,"画面","n",19
2,"延伸","v",20
2,"感更强","x",21
2,"观看","v",22
2,"时","n",23
2,"身临其境","i",24
2,"带来","v",25
2,"环绕","v",26
2,"式","k",27
2,"观看","v",28
2,"高清","nr",29
2,"片源","n",30
2,"观赏","v",31
2,"确认","v",32
2,"系统","n",33
2,"版本","n",34
2,"是否是","l",35
2,"最新","d",36
2,"升级","vn",37
2,"更新","d",38
2,"方式","n",39
2,"无效","a",40
2,"会为","x",41
2,"生活","vn",42
3,"带来","v",1
3,"不便","c",2
3,"更好","d",3
3,"解答","v",4
3,"访问","v",5
3,"供应商","n",6
3,"详细","ad",7
3,"生活","vn",8
4,"不好","d",1
4,"购物","n",2
4,"本店","n",3
4,"正品","n",4
4,"店","n",5
4,"所售","v",6
4,"未","d",7
4,"拆封","v",8
4,"全新","d",9
4,"正品","n",10
4,"三包","m",11
4,"选购","v",12
4,"该款","r",13
4,"厂家","n",14
4,"提供","v",15
4,"上门","ns",16
4,"拨打","v",17
4,"全国","n",18
4,"统一","vn",19
4,"客户","n",20
4,"预约","v",21
4,"电话","n",22
4,"周一","t",23
4,"周日","t",24
4,"商品","n",25
4,"介绍","v",26
4,"页面","n",27
4,"下方","f",28
4,"收费","n",29
4,"标准","n",30
4,"提供","v",31
4,"信息","n",32
