"word","id","nature","index_word","frequency"
"操作",1,"v",8,43
"出去玩",1,"n",2,1
"很快",1,"d",11,87
"机",1,"n",4,28
"简单",1,"a",9,54
"看剧",1,"x",6,1
"拿到",1,"v",1,1
"评价",1,"n",3,11
"爽",1,"nr",7,8
"物流",1,"n",10,46
"赞赞",1,"x",12,3
"赞赞",1,"x",14,3
"赞赞",1,"x",13,3
"质量",1,"n",5,33
"棒",2,"zg",1,21
"超级",2,"b",2,16
"反复",2,"v",13,1
"工作",2,"vn",9,1
"挂",2,"v",10,7
"挂",2,"v",16,7
"讲解",2,"v",8,4
"量尺",2,"x",14,1
"耐心",2,"a",7,9
"清晰",2,"a",3,130
"生怕",2,"v",15,1
"师傅",2,"nr",6,67
"特别",2,"d",11,66
"歪",2,"v",17,1
"系统",2,"n",5,20
"语音",2,"n",4,66
"正",2,"d",12,2
"按键",3,"n",38,4
"包裹",3,"v",14,1
"包装",3,"v",12,21
"薄",3,"a",80,6
"比例",3,"n",8,2
"边框",3,"n",58,48
"不用",3,"v",37,11
"操作",3,"v",86,43
"产品",3,"n",2,32
"超薄",3,"a",57,15
"大够",3,"x",79,1
"第三",3,"m",20,2
"第四",3,"m",31,2
"第五",3,"m",41,2
"第一",3,"m",5,3
"发蓝",3,"n",64,1
"放在",3,"v",43,18
"奉上",3,"x",90,1
"服务",3,"vn",77,40
"高",3,"a",9,85
"高好",3,"x",22,1
"给力",3,"x",55,8
"更好",3,"d",68,5
"够",3,"zg",78,18
"挂",3,"v",42,7
"好评",3,"v",89,19
"好用",3,"x",3,6
"好用",3,"x",36,6
"很快",3,"d",75,87
"很漂亮",3,"n",82,6
"画面",3,"n",83,58
"唤醒",3,"v",70,1
"家",3,"q",1,10
"简单",3,"a",87,54
"简洁",3,"a",35,5
"简洁明了",3,"l",40,2
"开心",3,"v",19,4
"看着",3,"v",10,19
"磕碰",3,"v",18,2
"快递",3,"v",73,36
"老年人",3,"n",30,1
"亮度",3,"n",26,3
"凌晨",3,"t",49,3
"满意",3,"v",88,73
"内置",3,"n",65,20
"拍",3,"v",50,3
"拍出来",3,"v",61,1
"漂亮",3,"a",56,25
"清晰",3,"a",85,130
"清晰",3,"a",59,130
"全家人",3,"n",46,1
"设计",3,"vn",33,17
"设计",3,"vn",7,17
"声音",3,"n",84,29
"省事",3,"n",29,2
"收到",3,"v",76,9
"手动",3,"n",28,1
"手机",3,"n",60,29
"舒服",3,"a",11,17
"送到",3,"v",52,20
"送货",3,"v",53,53
"速度",3,"n",54,167
"特别",3,"d",34,66
"特别",3,"d",39,66
"调节",3,"vn",24,1
"图像",3,"n",25,11
"图像",3,"n",21,11
"外观",3,"n",81,165
"外形",3,"n",6,118
"无需",3,"v",27,1
"喜欢",3,"v",47,62
"下午",3,"t",51,4
"小爱",3,"x",66,40
"小哥",3,"n",74,18
"严严实实",3,"z",15,1
"颜色",3,"n",63,14
"遥控器",3,"n",32,31
"一点",3,"m",17,15
"语音",3,"n",69,66
"照片",3,"n",62,1
"这款",3,"r",4,20
"这款",3,"r",48,20
"真的",3,"d",16,51
"整体",3,"n",45,12
"质量",3,"n",13,33
"智能",3,"n",67,40
"智能家居",3,"nr",71,4
"桌上",3,"s",44,1
"自动",3,"vn",23,2
"总体",3,"n",72,12
"按错",4,"x",29,1
"按键",4,"n",25,4
"标清",4,"x",19,1
"第一次",4,"m",34,9
"方向键",4,"n",26,1
"费",4,"v",12,2
"感觉",4,"n",37,45
"高",4,"a",31,85
"购买",4,"v",33,24
"够",4,"zg",5,18
"过乐视",4,"x",36,1
"很快",4,"d",2,87
"画面",4,"n",16,58
"家里",4,"s",4,63
"家里",4,"s",9,63
"键",4,"n",28,2
"开",4,"v",18,2
"看着",4,"v",7,19
"流畅",4,"a",23,32
"清晰",4,"a",20,130
"清晰",4,"a",6,130
"清晰",4,"a",17,130
"确认",4,"v",27,3
"省",4,"n",13,6
"舒服",4,"a",8,17
"数字",4,"n",11,1
"送到",4,"v",3,20
"推荐",4,"v",39,27
"网络",4,"n",10,24
"物流",4,"n",1,46
"嘻嘻",4,"z",15,6
"嘻嘻",4,"z",14,6
"系统",4,"n",22,20
"性价比",4,"n",30,66
"遥控器",4,"n",24,31
"一段时间",4,"l",40,9
"音质",4,"n",21,30
"真的",4,"d",35,51
"值得",4,"v",38,26
"值得",4,"v",32,26
"追评",4,"x",41,6
"尺寸",5,"n",5,137
"功能",5,"n",10,138
"够",5,"zg",6,18
"家人",5,"n",14,7
"价格",5,"n",1,51
"看着",5,"v",12,19
"满意",5,"v",15,73
"屏幕",5,"n",4,170
"清晰",5,"a",8,130
"实惠",5,"vn",2,25
"舒适",5,"a",13,4
"搜索",5,"v",11,3
"特别",5,"d",7,66
"语音",5,"n",9,66
"质量",5,"n",3,33
"不闪",6,"x",20,1
"超帅",6,"x",30,1
"大方",6,"n",21,15
"到位",6,"v",13,8
"第一台",6,"m",8,4
"多功能",6,"b",3,2
"分辨率",6,"n",18,18
"哥哥",6,"ns",29,4
"购物",6,"n",16,18
"还好",6,"v",28,1
"还用",6,"v",25,1
"后续",6,"v",4,6
"机",6,"n",1,28
"快速",6,"d",12,7
"麻利",6,"nr",14,1
"满意",6,"v",15,73
"盘里装",6,"x",26,1
"清晰",6,"a",19,130
"清晰度",6,"n",2,39
"软件",6,"n",23,23
"师傅",6,"nr",11,67
"索尼",6,"nr",9,2
"探索",6,"v",5,1
"体验",6,"n",17,19
"希望",6,"v",7,21
"辛苦",6,"a",31,7
"一二",6,"m",10,1
"直播",6,"vn",22,9
"直播",6,"vn",24,9
"中",6,"f",6,8
"总体",6,"n",27,12
"保证",7,"v",23,4
"播放",7,"v",3,16
"播放",7,"v",5,16
"操作",7,"v",38,43
"尺寸",7,"n",31,137
"服务质量",7,"n",22,1
"符合",7,"v",1,1
"干净",7,"a",41,3
"购买",7,"v",19,24
"购物",7,"n",42,18
"过得去",7,"v",11,1
"好看",7,"v",30,29
"合适",7,"a",32,35
"画质",7,"n",8,44
"画质",7,"n",35,44
"机",7,"n",28,28
"机",7,"n",27,28
"机",7,"n",17,28
"机后",7,"x",15,2
"几款",7,"m",13,1
"界面",7,"n",37,1
"京东",7,"ns",18,79
"局域网",7,"n",2,1
"控制",7,"v",7,18
"买到",7,"v",25,5
"品牌",7,"n",14,8
"轻薄",7,"a",33,8
"清晰",7,"a",9,130
"清晰",7,"a",36,130
"清晰",7,"a",40,130
"入手",7,"v",12,10
"声音",7,"n",39,29
"时尚",7,"n",34,18
"送货",7,"v",20,53
"速度快",7,"n",21,8
"体验",7,"n",43,19
"外形",7,"n",29,118
"网络",7,"n",4,24
"心仪",7,"n",26,1
"选定",7,"v",16,2
"音响",7,"n",10,18
"语音",7,"n",6,66
"预算",7,"v",24,2
"背光",8,"n",24,5
"捕捉",8,"v",60,3
"不足之处",8,"i",56,3
"菜单",8,"n",26,3
"测试",8,"vn",3,3
"插口",8,"n",39,5
"超高",8,"v",55,11
"超频",8,"b",79,3
"超清",8,"x",13,4
"搭配",8,"v",30,7
"大型",8,"b",65,3
"带来",8,"v",14,5
"低",8,"a",7,3
"电子设备",8,"n",48,3
"动态",8,"n",59,3
"动作",8,"n",66,3
"感受",8,"v",17,5
"功能",8,"n",27,138
"画质",8,"n",11,44
"会议",8,"n",52,4
"激战",8,"v",67,3
"技术",8,"n",61,4
"简约",8,"d",34,10
"均匀",8,"a",9,3
"可控",8,"v",25,3
"扩展",8,"v",42,3
"蓝光",8,"nr",12,6
"蓝光",8,"nr",49,6
"蓝牙",8,"ns",21,19
"类",8,"q",68,4
"连接",8,"v",22,9
"链接",8,"n",40,7
"满意",8,"v",2,73
"面板",8,"n",23,3
"模式",8,"n",80,10
"能耗",8,"n",6,3
