"word","frequency"
"爱",3
"爱奇",1
"爱奇艺",2
"爱上",1
"碍事",1
"安",1
"安好",1
"安排",1
"安上",2
"安卓",2
"按错",1
"按键",4
"按住",2
"案例",1
"嗷嗷",1
"八颗",1
"粑",2
"爸爸",1
"爸妈",2
"白搭",1
"白条",1
"摆",1
"摆在",1
"搬",1
"搬出",1
"搬进",1
"搬上来",1
"搬走",1
"半个",1
"半小时",2
"半夜",1
"帮",9
"帮忙",17
"棒",21
"棒棒",10
"棒极了",1
"包裹",1
"包括",1
"包揽",1
"包装",21
"薄",6
"薄薄",2
"薄厚",2
"饱和度",4
"饱满",2
"宝",1
"宝宝",1
"宝贝",4
"保护",1
"保价",1
"保修",1
"保障",2
"保证",4
"爆炸",1
"背板",2
"背光",5
"背景墙",1
"背面",2
"本次",1
"本来",2
"逼真",1
"比不上",1
"比较简单",1
"比较满意",1
"比例",2
"笔芯",1
"壁挂",1
"边界",1
"边框",48
"边窄",1
"变得",1
"便捷",2
"便宜",12
"标清",1
"标准",1
"表现",3
"表现出色",1
"别看",1
"冰箱",2
"播放",16
"捕捉",3
"不包",1
"不刺",1
"不大不小",2
"不到",5
"不多",1
"不贵",1
"不好",4
"不卡",7
"不卡顿",4
"不卡屏",1
"不亏",1
"不愧",1
"不难",1
"不齐",1
"不让",1
"不闪",1
"不爽",1
"不算",2
"不太懂",1
"不香",1
"不像",1
"不小",1
"不用",11
"不用说",1
"不在乎",1
"不足之处",3
"步入",1
"采用",2
"彩电",1
"菜单",3
"餐桌",2
"操控",8
"操太",1
"操作",43
"操作系统",4
"侧面",1
"测试",3
"插",1
"插电试",2
"插口",5
"插上",1
"插线",1
"插座",1
"查",1
"查找",1
"差",3
"差别",1
"差点",2
"拆出来",1
"拆封",1
"拆开",1
"拆下来",1
"拆箱",1
"产品",32
"产品质量",1
"尝试",2
"厂",1
"厂家",1
"畅销",1
"超",13
"超棒",4
"超薄",15
"超出",7
"超大",1
"超高",11
"超好",1
"超乎",1
"超级",16
"超快",2
"超频",3
"超清",4
"超清盒",1
"超帅",1
"超顺",1
"超赞",3
"超窄",2
"超值",6
"潮流",2
"沉",1
"沉浸",1
"沉稳",1
"称",1
"称得上",1
"成功",2
"成立",1
"成熟",1
"成长",1
"乘以",2
"吃饭",1
"吃力",2
"迟缓",1
"持续",1
"尺寸",137
"冲动",2
"充电",1
"充分发挥",1
"充足",1
"出去玩",1
"出身",1
"出手",1
"出众",2
"处理器",2
"触感",1
"创新",1
"纯净",1
"纯正",1
"次日",1
"刺耳",1
"刺眼",2
"从来没",1
"凑合",1
