ask_content,lastAnswerTime,reply_content,replycreatedTime,replymodifiedTime
奶粉冲泡的时候会结块吗,2019-10-21 12:57:43,还好,2019-10-20 19:28:44,2019-10-20 22:10:20
为什么感觉奶粉不细腻，潮湿的感觉,2019-10-22 23:35:54,没盖严返潮了吧，注意加密封带试试。,2019-08-24 12:04:46,2019-08-24 14:37:23
有刮边吗，,2019-10-23 01:11:45,没有吧,2019-10-22 22:30:42,2019-10-23 00:24:00
你们买的奶粉潮不潮，我这买的不容易溶解，每次都有疙瘩，融化不了,2019-10-24 11:10:33,没有，可以冲开,2019-10-24 10:56:46,2019-10-24 11:10:33
小罐的有没有勺子,2019-01-08 09:28:19,有，埋在里面了,2019-01-08 09:28:19,2019-01-08 09:28:25
一勺奶粉兑多少毫升水啊,2019-09-28 01:30:01,30吧,2019-09-27 23:41:55,2019-09-28 01:30:01
奶粉开封后，要一个月内喝完么？,2019-10-23 01:22:05,尽量地,2019-10-22 23:25:29,2019-10-23 01:22:05
这款400克和900克的是一样的吗？有没有区别？,2018-11-05 21:40:47,一样,2018-11-05 21:40:47,2018-11-05 21:41:00
铝膜瓶盖是凸起一点吗？按压会有声音？,2019-10-23 00:23:25,不会突起,2019-10-15 17:24:06,2019-10-15 18:48:27
这款奶粉甜不甜,2019-09-22 14:34:36,不甜。淡淡的,2019-09-22 13:13:33,2019-09-22 14:34:36
你们收到奶粉瓶上有没有一层灰,2018-08-02 10:45:03,这个还真没有，京东自营的，经常断货，怎么会有灰尘？,2017-11-13 22:28:25,2017-11-13 22:28:30
你们买的怎么样？我家想断奶了喝这个怎么样？,2018-10-15 22:35:53,还行，一直在喝。,2018-10-15 22:35:53,2018-10-15 22:36:10
是正品吗？3段得怎么样？,2017-11-24 11:36:14,是正品，挺好，孩子爱喝,2017-11-24 11:36:14,2017-11-24 11:36:25
请问这个跟美赞臣荷兰版3段比腥味能小一点吗？,2018-10-02 14:21:25,没买过美赞臣，这款口感还行吧，反正我家娃不吃奶粉,2018-10-02 14:21:25,2018-10-02 14:21:40
这款奶粉甜不甜？上不上火？,2018-11-29 08:52:37,我女儿喝的没有怎么上火。,2018-11-29 08:52:37,2018-11-29 08:52:40
奶粉颜色是什么样的，腥味大不大?,2019-06-13 16:58:46,腥味挺大，娃娃一次只能喝60毫升,2018-01-15 00:43:09,2018-01-15 00:43:35
这个喝着腥吗,2018-12-23 14:36:44,没尝过\n但是宝宝一岁七个月\n一直母乳\n喝这个也接受了,2018-12-20 22:07:40,2018-12-20 22:07:45
请问这个奶粉甜不甜？腥味重不重？,2018-09-06 07:28:24,一般,2018-09-06 07:28:24,2018-09-20 09:57:12
启赋和美赞臣铂睿，哪个更腥？启赋是不是真的很腥？,2019-06-26 09:23:15,看几段,2019-06-26 09:23:13,2019-06-26 09:23:15
母乳宝宝，喝这个好接受嘛,2017-10-23 22:10:24,宝宝爱喝 对于母乳和这个奶粉 不挑剔的 不甜这款,2017-10-23 22:10:24,2017-10-23 22:10:30
宝妈们这款奶粉有腥味吗？,2019-04-19 08:43:35,3段的比一段好多了，一段的那个才腥，我们从一段开始喝过来的，3段真的是好喝极了，和一段比较。3段没什么腥味了,2019-04-19 08:43:30,2019-04-19 08:43:35
会不会是假的,2018-08-02 10:32:58,是真的，孩子可爱吃呢。京东上都是很值得信赖的！,2018-04-22 11:28:18,2019-03-12 13:45:19
这款是有机的吗,2019-05-25 23:29:10,不是，有机绿色盖,2019-05-25 23:29:04,2019-05-25 23:29:10
宝宝一岁三个月直接喝三段的可以吗？以前没和喝过奶粉,2019-02-19 08:16:51,不可以喝一段的  乱喝怎么能行呢,2019-02-19 08:16:51,2019-02-19 08:16:55
买过的宝爸爸妈，这款奶粉腥味重吗,2019-04-19 08:45:45,不重，3段基本没腥味了，一段腥味大,2019-04-19 08:45:42,2019-04-19 08:45:45
为什么不容易冲开啊,2019-01-08 07:09:39,会有一点,2018-12-20 22:07:19,2018-12-20 22:07:25
请问这个奶粉甜吗？,2018-05-19 22:47:59,稍微有点，还可以,2018-05-19 22:47:59,2018-05-19 22:48:20
3段的腥味大吗？会不会比金领冠珍护腥很多,2019-02-08 21:42:45,不腥，但是宝宝喝着上火便秘的厉害,2019-02-08 21:42:44,2019-02-08 21:42:50
你们买的3段闻着味香吗？我第一次买到这么香的奶粉！,2017-10-28 00:53:29,美素更香甜,2017-10-28 00:53:29,2017-10-28 00:53:35
日期是什么时候的,2019-09-23 13:31:42,我的是2018年9月的 小罐款,2019-09-23 11:11:17,2019-09-23 13:31:42
惠氏启赋3段，一周岁孩子每顿建议吃多少啊,2019-10-14 11:25:14,我家的一顿吃80ML，就是2勺奶粉,2019-09-16 14:00:25,2019-09-16 14:35:58
适合肠胃吸收功能比较差的宝宝吗,2017-10-22 16:15:10,不喜欢喝奶粉,2017-10-22 16:15:10,2017-10-22 16:15:15
400g喝多长时间,2019-07-15 14:48:05,我家喝一周,2019-07-15 14:48:01,2019-07-15 14:48:05
启赋怎么样？孩子属于上火体质，容易便秘。吃启赋会不会上火，在这个和铂臻中选哪个好呀？,2017-10-20 03:29:52,还好,2017-10-20 03:29:52,2017-10-20 03:29:55
是正品吗？？,2018-05-16 06:16:52,应该是,2018-05-16 06:16:52,2018-05-16 06:17:15
这款接近母乳的味道吗,2017-08-18 16:22:18,一段毕竟接近母乳,2017-08-18 16:22:18,2017-08-18 16:22:25
有没有过敏的宝宝换这个的？我家宝宝喝金领冠，贝因美都过敏，想试试这个，还没有试用装，头疼,2019-05-10 15:05:35,没过敏过，换了一圈奶粉，这个比较不排斥,2019-04-12 22:40:03,2019-04-12 22:40:10
惠氏启赋奶粉溶解的慢还容易粘一起，正常吗，,2018-08-16 10:03:37,一直用启赋奶粉、正常情况下晃几下奶瓶奶粉就全融开了不会有粘连、你说的情况肯定是不正常的,2018-08-16 10:03:37,2018-08-16 10:04:00
宝宝一岁，已断奶半个月。现在不喝奶瓶和水杯，勺子喂养也抗拒。但是把辅食泡冲好的奶粉里又会进食（不能过稀），但是这样下来一天只能喝两百多一点奶，又还没有长牙。各位宝妈有没有好的建议怎么让宝宝喝奶，谢谢！,2019-04-19 08:38:40,我娃一岁多还没断奶，晚上奶，白天也只喝一顿牛奶，最开始也是每天抗拒，但一定要坚持，每天给娃喝，我们都不知道倒了多少次奶粉了，浪费的，最后娃接受奶瓶子，现在每天喝120到180毫升之间，我已经很满足了，一定要坚持，甚至我自己买了个奶瓶跟娃一起喝，没办法，我娃吃这套，爱跟妈妈学。,2019-04-19 08:38:36,2019-04-19 08:38:40
这个和美素佳儿比，甜吗，3段，价位一样,2019-04-03 20:42:40,没买过美素佳儿，我觉得这个还挺好,2019-03-10 18:21:11,2019-03-10 18:21:15
启赋敏适换这个可以吗？,2019-06-26 09:21:55,个人觉得宝宝比较爱喝这个,2019-06-26 09:21:53,2019-06-26 09:21:55
一岁两个月，母乳转奶粉，这个奶粉可以吗？口味怎么样？有腥味吗？会不会太甜？会上火吗？吃了长肉吗？,2018-08-02 10:30:48,我家小宝转奶那会也是1岁，羊奶转牛奶，一下就转过来了，没有不适,2018-08-02 10:30:48,2018-08-02 10:31:05
现在买明天能到吗,2017-09-21 12:54:29,可以,2017-09-11 08:38:01,2017-09-11 08:38:05
这个上火吗？之前吃的s26的，上火严重就换了美素佳儿，现在想给宝宝换一种，不知道这个上火不？,2018-08-07 08:49:06,挺好的,2018-08-07 08:49:06,2018-08-07 08:49:30
请问最近下单的日期是近期的吗,2018-06-12 22:17:42,还行,2018-06-12 22:17:42,2018-06-12 22:18:00
这个奶粉包装换了吗,2018-06-09 21:53:43,换包装了,2018-06-01 17:45:11,2018-06-01 17:45:35
孩子喝了拉肚子能退吗,2017-10-23 22:07:52,不拉肚子 吸收很好 便便干的,2017-10-23 22:07:52,2017-10-23 22:08:00
宝宝一岁刚刚断奶，就是不肯喝奶粉。宝妈们有没有什么好的办法可以让宝宝喝奶粉？比如和加在米粉里面可以吗？,2019-04-03 20:42:15,没试过啊，我两个宝宝因为从小都注意混合喂养，所以比较好过渡。我建议你买小罐的，等宝宝特别饿的时候给一点，开始的时候一天两次，以后慢慢加就好。其他的米糊啊，蛋羹水果泥都可以喂啦,2019-03-06 22:30:57,2019-03-06 22:31:00
请问有没有喝飞鹤奶粉换这个的？两个牌子哪个更好啊？,2019-04-21 15:20:30,适合孩子的最好。万一孩子不喝。再好的也够呛,2019-04-21 15:20:25,2019-04-21 15:20:30
哪款含乳铁蛋白？为什么配方里都没看到？,2018-10-16 01:23:01,国产有一款含的，纯奶粉喂养喝点乳铁蛋白还是不错的，这个成本比较高，名牌奶粉反而不添加了，金领冠有个系列含，但不是最贵的那个系列，中等的，贵的反而不含了，不知道商业大佬的套路。,2018-10-16 01:23:01,2018-10-16 01:23:15
210的水放几勺奶粉啊？,2018-05-20 00:09:17,自己按比例换算呀,2018-05-20 00:09:17,2018-05-20 00:09:35
这个奶有腥味吗？,2018-05-08 23:36:16,有,2018-05-08 23:36:16,2018-05-08 23:36:35
冲240放几勺奶粉？怎么泡？,2018-05-14 00:28:53,5勺 先放水 再一勺一勺加 不停搅拌,2018-05-14 00:28:53,2018-05-14 00:28:55
不是说启赋三段含有香兰素还是什么的吗？,2019-04-07 08:09:50,是的，以前拿来h给食品添香的，小孩子的奶粉，想不明白为什么要加香精，一冲一股香精味，儿子不喜欢喝,2019-04-07 08:09:44,2019-04-07 08:09:50
3段甜还是4段？,2018-06-27 08:48:46,3段有点腥，我小孩不喜欢吃,2018-06-27 08:48:46,2018-06-27 08:49:05
