"Var1","Freq"
"换",37
"生产日期",37
"上火",36
"京东",32
"感觉",27
"毫升",26
"包装",24
"一岁",24
"惠氏",21
"岁",21
"区别",19
"一罐",19
"便秘",18
"便宜",18
"情况",18
"溶解",18
"价格",17
"美素",17
"母乳",17
"味道",17
"收到",16
"香兰素",16
"腥味",16
"香精",15
"爱",14
"不好",14
"蓝",14
"题",14
"正品",14
"钻",14
"防伪",13
"年",13
"冲泡",12
"佳儿",12
"拉肚子",12
"美",12
"实体",12
"子",12
"打开",11
"多久",11
"盖子",11
"好多",11
"加",11
"每次",11
"坨",11
"吸收",11
"比例",10
"断奶",10
"发现",10
"罐装",10
"进口",10
"奶瓶",10
"牌子",10
"配方",10
"添加",10
"营养",10
"差",9
"二维码",9
"更好",9
"罐",9
"活动",9
"结块",9
"太",9
"牙齿",9
"整箱",9
"爱尔兰",8
"保质期",8
"第一次",8
"购买",8
"贵",8
"口味",8
"泡沫",8
"亲",8
"时间",8
"双十",8
"特别",8
"小孩",8
"颜色",8
"转",8
"转奶",8
"宝妈",7
"不错",7
"冲调",7
"东西",7
"过敏",7
"客服",7
"两个",7
"美赞臣",7
"牛奶",7
"泡泡",7
"配料",7
"三岁",7
"生产",7
"温",7
"下单",7
"鲜",7
"营养成分",7
"原装",7
"质量",7
"铂",6
"产品",6
"冲开",6
"大便",6
"儿子",6
"罐子",6
"合生元",6
"几份",6
"买过",6
"面",6
"女儿",6
"囤",6
"味",6
"香",6
"一点",6
"一箱",6
"有机",6
"自营",6
"白砂糖",5
"冲不开",5
"担心",5
"会上",5
"几次",5
"几个",5
"几罐",5
"假",5
"卡",5
"款",5
"拉",5
"老款",5
"买到",5
"奶",5
"奶块",5
"偏",5
"少",5
"网上",5
"喜欢",5
"现象",5
"香味",5
"效果",5
"一模一样",5
"优惠",5
"臻",5
"粑",4
"表",4
"肠胃",4
"底部",4
"度",4
"兑",4
"多长时间",4
"饭",4
"粉",4
"份",4
"辅食",4
"港版",4
"合适",4
"皇家",4
"黄",4
"接近",4
"金领",4
"开",4
"口感",4
"了吗",4
"没什么",4
"批次",4
"评价",4
"评论",4
"瓶底",4
"前",4
"乳",4
"乳糖",4
"试试",4
"适合",4
"体质",4
"调整",4
"铁蛋白",4
"脱脂",4
"为啥",4
"温度",4
"沃尔玛",4
"写",4
"羊奶",4
"摇",4
"一桶",4
"一种",4
"一周",4
"原因",4
"咋办",4
"怎么回事",4
"赠品",4
"长",4
"中",4
"做",4
"宝",3
"宝爸",3
"标准",3
"补充",3
"不肯",3
"淡",3
"第三",3
"点",3
"电话",3
"发货",3
"放",3
"高",3
"罐上",3
"国产",3
"国家",3
"还好",3
"含",3
"含糖",3
"好不好",3
"好好",3
"很难",3
"很香",3
"糊精",3
"火吗",3
"货",3
"货是",3
"几天",3
"加多少",3
"假货",3
"价位",3
"胶带",3
"接受",3
"解决",3
"金装",3
"近期",3
"开头",3
"看不到",3
"蓝臻",3
"两次",3
"两罐",3
"两款",3
"妈妈",3
"麻烦",3
"麦芽",3
"没过",3
"每顿",3
"免疫力",3
"难开",3
"能吗",3
"牛乳",3
"泡",3
"配料表",3
"偏瘦",3
"品牌",3
"瓶盖",3
"瓶子",3
"期",3
"抢",3
"全脂",3
"日",3
"肉",3
"生病",3
"时",3
"瘦小",3
"双",3
"说明书",3
"四有",3
"素",3
"天",3
"听说",3
"桶",3
"吐",3
"娃",3
"闻",3
"显示",3
"香草",3
"小朋友",3
"验证",3
"摇晃",3
"一年",3
"一张",3
"一周岁",3
"乙基",3
"有奶",3
"有人",3
"有题",3
"员",3
"长肉",3
"真伪",3
"装",3
"字样",3
"总",3
"爱美",2
"澳",2
"八个",2
"八岁",2
"版",2
"版本",2
"宝贝",2
"宝贝儿",2
"保证",2
"杯",2
"比大",2
"比对",2
"比贵",2
"编码",2
"变价",2
"标注",2
"波动",2
"补",2
"不到",2
"不贵",2
"不行",2
"不开",2
"不鲜",2
"不易",2
"不用",2
"不长",2
"查询",2
"尝",2
"超市",2
"冲吗",2
"冲完",2
"次数",2
"从来没",2
"打算",2
"大吗",2
"到期",2
"低",2
"底座",2
"豆奶",2
"兑换",2
"多少度",2
"额",2
"发黄",2
"发票",2
"发炎",2
"反正",2
"饭菜",2
"方法",2
"防着",2
"放心",2
"放在",2
"飞鹤",2
"该换",2
"改成",2
"刚换",2
"高点",2
"疙瘩",2
"咯吱咯吱",2
"隔",2
"更重",2
"工艺",2
"挂",2
"挂壁",2
"关系",2
"冠珍护",2
"国内",2
"过吗",2
"好点",2
"荷兰",2
"很腥",2
"怀疑",2
"换吗",2
"回答",2
"回来",2
"会员卡",2
