"id","word","nature","index_word","n","tf","idf","tf_idf"
20,"文字游戏","n",1,1,1,6.94601399109923,6.94601399109923
264,"分为","v",1,1,1,6.94601399109923,6.94601399109923
849,"一拖","j",1,1,1,6.94601399109923,6.94601399109923
901,"串台","v",1,1,1,6.94601399109923,6.94601399109923
923,"刚用","x",1,8,1,4.86657244941939,4.86657244941939
349,"别买","x",1,9,1,4.74878941376301,4.74878941376301
378,"喇叭","n",1,9,1,4.74878941376301,4.74878941376301
868,"传输","vn",1,10,1,4.64342889810518,4.64342889810518
941,"极差","n",1,11,1,4.54811871830086,4.54811871830086
445,"辣鸡","x",1,15,1,4.23796378999702,4.23796378999702
752,"兄弟","n",2,2,0.666666666666667,6.25286681053928,4.16857787369285
109,"差劲","n",1,13,0.928571428571429,4.38106463363769,4.06813144552071
256,"话","n",2,6,0.75,5.15425452187117,3.86569089140338
854,"内存卡","nr",1,6,0.75,5.15425452187117,3.86569089140338
292,"一般般","l",1,23,1,3.81051977517008,3.81051977517008
785,"一般般","l",1,23,1,3.81051977517008,3.81051977517008
351,"发现","v",2,19,0.95,4.00157501193279,3.80149626133615
159,"第二天","m",1,14,0.875,4.30695666148397,3.76858707879847
419,"字","n",2,14,0.875,4.30695666148397,3.76858707879847
365,"还行","v",1,26,1,3.68791745307775,3.68791745307775
229,"开机","n",2,24,0.96,3.76796016075128,3.61724175432123
308,"还行","v",1,26,0.962962962962963,3.68791745307775,3.55132791777857
572,"越来越","d",2,7,0.7,5.00010384204391,3.50007268943074
12,"送","v",1,30,0.967741935483871,3.54481660943707,3.43046768655201
797,"接口","v",1,12,0.75,4.46110734131123,3.34583050598342
55,"朋友","n",1,11,0.733333333333333,4.54811871830086,3.33528706008729
380,"喜欢","v",2,18,0.818181818181818,4.05564223320306,3.31825273625705
645,"曲目","n",1,18,0.818181818181818,4.05564223320306,3.31825273625705
368,"线","n",1,9,0.692307692307692,4.74878941376301,3.28762344029747
26,"降价","n",1,38,0.974358974358974,3.30842783137284,3.22359634851713
434,"超级","b",1,11,0.6875,4.54811871830086,3.12683161883184
119,"耗电","v",1,10,0.666666666666667,4.64342889810518,3.09561926540345
45,"几天","m",1,26,0.838709677419355,3.68791745307775,3.09309205742004
120,"一个月","m",2,27,0.84375,3.6501771250949,3.07983694929882
427,"物流","n",1,27,0.818181818181818,3.6501771250949,2.98650855689583
101,"电量","n",1,10,0.625,4.64342889810518,2.90214306131574
218,"刚买","x",1,20,0.714285714285714,3.95028171754524,2.8216297982466
625,"垃圾","n",1,63,1,2.80287926470769,2.80287926470769
107,"星期","t",2,17,0.68,4.11280064704301,2.79670443998925
80,"不响","x",1,4,0.5,5.55971962997934,2.77985981498967
