"id","word","nature","index_word","n","tf","idf","tf_idf"
997,"货收","x",1,1,1,6.98100574072173,6.98100574072173
1000,"完美无缺","i",1,1,1,6.98100574072173,6.98100574072173
472,"好玩","v",1,26,1,3.72290920270025,3.72290920270025
798,"只能","v",3,20,0.833333333333333,3.98527346716774,3.32106122263978
1062,"想象","n",1,39,1,3.31744409459208,3.31744409459208
1013,"收音","n",2,7,0.636363636363636,5.03509559166642,3.20415174015136
977,"服务态度","n",1,53,1,3.01071382716961,3.01071382716961
1019,"儿子","n",1,63,1,2.8378710143302,2.8378710143302
887,"刚买","x",1,4,0.5,5.59471137960184,2.79735568980092
989,"适合","v",1,65,0.802469135802469,2.80661847082609,2.25222469881106
887,"保价","n",3,3,0.375,5.88239345205362,2.20589754452011
1042,"好好","d",1,17,0.5,4.14779239666551,2.07389619833276
1042,"好好","d",2,17,0.5,4.14779239666551,2.07389619833276
1016,"电池","n",1,50,0.675675675675676,3.06898273529358,2.07363698330648
971,"下次","t",1,45,0.642857142857143,3.17434325095141,2.04064923275448
1013,"换货","nz",1,4,0.363636363636364,5.59471137960184,2.0344405016734
978,"好评","v",1,149,1,1.97705943477627,1.97705943477627
990,"好评","v",1,149,1,1.97705943477627,1.97705943477627
33,"评价","n",3,77,0.726415094339623,2.63720031886805,1.91570211842301
539,"评价","n",3,77,0.726415094339623,2.63720031886805,1.91570211842301
889,"评价","n",3,77,0.726415094339623,2.63720031886805,1.91570211842301
995,"购买","v",5,177,0.926701570680628,1.8048560081479,1.67256289760303
536,"音效","n",3,162,0.866310160427808,1.89340940548935,1.64027980582499
1004,"适合","v",1,65,0.575221238938053,2.80661847082609,1.61442655401501
1039,"这款","r",2,124,0.659574468085106,2.16072417511669,1.42515849848122
1002,"声音","n",3,206,0.844262295081967,1.65312957193215,1.39567496646731
1036,"晚上","t",5,54,0.45,2.99202169415746,1.34640976237085
971,"再来","d",2,25,0.357142857142857,3.76212991585353,1.34361782709055
247,"清晰","a",10,78,0.509803921568627,2.62429691403214,1.33787685813403
1004,"收音机","n",2,48,0.424778761061947,3.10980472981384,1.3209790002749
1056,"效果","n",1,293,1,1.30083313170466,1.30083313170466
1049,"操作","v",5,60,0.447761194029851,2.88666117849963,1.29253485604461
1011,"高","a",2,135,0.602678571428571,2.0757309622833,1.25099857101895
613,"感觉","n",4,219,0.765734265734266,1.59193401090523,1.21899842093792
1072,"收音机","n",2,48,0.390243902439024,3.10980472981384,1.21358233358589
1034,"老人","n",4,33,0.347368421052632,3.48449817925525,1.21040463068867
1049,"杂音","n",1,53,0.395522388059701,3.01071382716961,1.19080472268649
587,"收到","v",1,205,0.709342560553633,1.65799576158332,1.17608695890858
1054,"实用","v",3,45,0.365853658536585,3.17434325095141,1.16134509181149
1058,"东西","ns",1,222,0.727868852459016,1.57832835884945,1.14881605135927
1017,"收到","v",6,205,0.676567656765677,1.65799576158332,1.12174630734185
1006,"不好","d",2,21,0.283783783783784,3.93648330299831,1.11711012652655
985,"满意","v",2,294,0.859649122807018,1.29742597338305,1.11533109992578
594,"手机","n",6,182,0.598684210526316,1.77699905364493,1.06386127553743
106,"购买","v",2,177,0.584158415841584,1.8048560081479,1.05432182654184
1054,"想象","n",4,39,0.317073170731707,3.31744409459208,1.05187251779749
1072,"牌子","n",1,39,0.317073170731707,3.31744409459208,1.05187251779749
337,"完美","a",1,90,0.405405405405405,2.48119607039146,1.00589029880735
337,"完美","a",4,90,0.405405405405405,2.48119607039146,1.00589029880735
709,"蓝牙","ns",3,264,0.707774798927614,1.40505663757541,0.994463679141848
1072,"物美价廉","l",3,36,0.292682926829268,3.39748680226562,0.994386381150913
1023,"小巧","n",4,112,0.43921568627451,2.26250686942664,0.993728507356012
76,"很快","d",2,246,0.664864864864865,1.47567420478937,0.981123930751849
875,"购买","v",2,177,0.531531531531532,1.8048560081479,0.95933787820474
833,"很棒","a",10,132,0.45360824742268,2.09820381813536,0.951762556679957
962,"购买","v",2,177,0.526785714285714,1.8048560081479,0.950772361435055
548,"物流","n",3,237,0.623684210526316,1.5129455995866,0.943600281847431
1054,"老人","n",2,33,0.268292682926829,3.48449817925525,0.934865365166043
912,"购买","v",4,177,0.517543859649123,1.8048560081479,0.934092144567773
1006,"情况","n",8,16,0.216216216216216,4.20841701848195,0.909928003996097
1016,"还好","v",5,16,0.216216216216216,4.20841701848195,0.909928003996097
1046,"满意","v",3,294,0.7,1.29742597338305,0.908198181368134
962,"值得","v",1,159,0.473214285714286,1.9121015385015,0.904833763755173
106,"推荐","v",1,126,0.415841584158416,2.14472383377025,0.891865356617332
551,"质量","n",1,189,0.504,1.73925872566209,0.876586397733692
624,"好评","v",7,149,0.44213649851632,1.97705943477627,0.874130135850636
1033,"听","v",2,197,0.514360313315927,1.69780201198374,0.873281974832368
887,"跌价","n",2,1,0.125,6.98100574072173,0.872625717590216
1034,"挺不错","i",5,21,0.221052631578947,3.93648330299831,0.870169993294363
938,"物流","n",2,237,0.560283687943262,1.5129455995866,0.84767874019391
1011,"服务","vn",4,68,0.303571428571429,2.76149803554562,0.838311903647778
572,"高","a",9,135,0.401785714285714,2.0757309622833,0.833999047345969
891,"朋友","n",1,108,0.356435643564356,2.29887451359751,0.819400816727825
540,"质量","n",5,189,0.46551724137931,1.73925872566209,0.80965492401511
693,"真的","d",1,225,0.507900677200903,1.56490533851731,0.79481648118825
551,"好评","v",4,149,0.397333333333333,1.97705943477627,0.785551615417772
275,"快递","v",9,175,0.42997542997543,1.81621976679822,0.780929875158938
1006,"开关","v",1,13,0.175675675675676,4.41605638326019,0.775793688951115
1006,"声","n",4,13,0.175675675675676,4.41605638326019,0.775793688951115
1063,"操作","v",3,60,0.266666666666667,2.88666117849963,0.769776314266568
991,"满意","v",1,294,0.589178356713427,1.29742597338305,0.764415302955143
891,"手感","n",3,95,0.313531353135314,2.42712884912119,0.760980992298723
175,"好看","v",29,97,0.312903225806452,2.40629476221835,0.752937393339289
1034,"老爸","n",1,17,0.178947368421053,4.14779239666551,0.742236534140145
1034,"老爸","n",2,17,0.178947368421053,4.14779239666551,0.742236534140145
641,"产品","n",2,100,0.307692307692308,2.37583555473364,0.731026324533427
869,"快递","v",6,175,0.40045766590389,1.81621976679822,0.727319128580521
33,"用户","n",1,19,0.179245283018868,4.03656676155529,0.723535551599533
539,"用户","n",1,19,0.179245283018868,4.03656676155529,0.723535551599533
889,"用户","n",1,19,0.179245283018868,4.03656676155529,0.723535551599533
814,"功能","n",1,120,0.32967032967033,2.19351399793968,0.723136482837258
912,"外观","n",2,107,0.312865497076023,2.30817690625982,0.722148915116378
984,"效果","n",3,293,0.548689138576779,1.30083313170466,0.713753010467165
998,"效果","n",5,293,0.548689138576779,1.30083313170466,0.713753010467165
449,"蓝牙","ns",6,264,0.50381679389313,1.40505663757541,0.707891130381506
641,"听歌","v",3,94,0.289230769230769,2.43771095845173,0.705061015675268
1060,"东西","ns",4,222,0.44578313253012,1.57832835884945,0.703592159969032
624,"客服","n",2,99,0.293768545994065,2.38588589058714,0.70089822898554
1075,"购买","v",2,177,0.384782608695652,1.8048560081479,0.69447720313517
875,"棒","zg",3,95,0.285285285285285,2.42712884912119,0.692424146145684
827,"很快","d",2,246,0.466793168880455,1.47567420478937,0.688834638288775
1063,"简单","a",4,50,0.222222222222222,3.06898273529358,0.681996163398574
814,"外观","n",2,107,0.293956043956044,2.30817690625982,0.678502552114838
1017,"清晰","a",8,78,0.257425742574257,2.62429691403214,0.675561581830055
667,"感觉","n",2,219,0.423597678916828,1.59193401090523,0.674339552008211
987,"好用","x",5,66,0.240875912408759,2.7913509986953,0.672369218663832
1077,"声音","n",2,206,0.403131115459883,1.65312957193215,0.666427968332725
1036,"信号","n",2,20,0.166666666666667,3.98527346716774,0.664212244527956
1036,"老妈","n",4,20,0.166666666666667,3.98527346716774,0.664212244527956
1075,"值得","v",4,159,0.345652173913043,1.9121015385015,0.660922053525518
984,"东西","ns",1,222,0.415730337078652,1.57832835884945,0.656158980645277
765,"东西","ns",1,222,0.414179104477612,1.57832835884945,0.653710626239884
1044,"东西","ns",3,222,0.412639405204461,1.57832835884945,0.65128047521297
1030,"京东","ns",4,325,0.540765391014975,1.19718055839199,0.647393812774372
542,"声音","n",19,206,0.390891840607211,1.65312957193215,0.646194861134768
938,"速度","n",5,128,0.302600472813239,2.12897547680211,0.64422898588811
451,"东西","ns",3,222,0.406593406593407,1.57832835884945,0.641737904147579
869,"高","a",5,135,0.308924485125858,2.0757309622833,0.641244118783171
814,"好看","v",3,97,0.266483516483516,2.40629476221835,0.641237889931812
991,"购买","v",2,177,0.354709418837675,1.8048560081479,0.640199425735829
1060,"快递","v",1,175,0.35140562248996,1.81621976679822,0.638229837730297
1063,"实用","v",2,45,0.2,3.17434325095141,0.634868650190282
247,"屏幕","n",4,26,0.169934640522876,3.72290920270025,0.632651237060173
247,"屏幕","n",9,26,0.169934640522876,3.72290920270025,0.632651237060173
76,"好看","v",6,97,0.262162162162162,2.40629476221835,0.630839437662648
1053,"京东","ns",1,325,0.525040387722132,1.19718055839199,0.628568144551531
998,"听","v",4,197,0.368913857677903,1.69780201198374,0.626342689814227
306,"东西","ns",4,222,0.396428571428571,1.57832835884945,0.625694456543889
533,"声音","n",19,206,0.377289377289377,1.65312957193215,0.623708226772935
341,"下单","n",2,106,0.269035532994924,2.31756664660966,0.623507778021889
1053,"满意","v",2,294,0.474959612277868,1.29742597338305,0.616224937277247
1039,"老人","n",1,33,0.175531914893617,3.48449817925525,0.611640637847996
672,"音效","n",5,162,0.318897637795276,1.89340940548935,0.603803786789909
827,"快递","v",1,175,0.332068311195446,1.81621976679822,0.60310903072047
927,"喜欢","v",1,591,1,0.599189723315632,0.599189723315632
947,"喜欢","v",1,591,1,0.599189723315632,0.599189723315632
931,"真的","d",5,225,0.38265306122449,1.56490533851731,0.598815818310195
765,"购买","v",5,177,0.330223880597015,1.8048560081479,0.596006554929437
931,"东西","ns",4,222,0.377551020408163,1.57832835884945,0.595899482422752
400,"满意","v",8,294,0.457231726283048,1.29742597338305,0.593224317534395
