ask_content,lastAnswerTime,reply_content,replycreatedTime,replymodifiedTime
为啥我就是紫红紫红的,2019-11-22 09:57:19,我的鼻子第二天点了一层皮！,2019-11-07 14:16:25,2019-11-07 15:54:05
黑头粉刺能吸出来吗？,2019-11-25 11:47:14,吸得出来,2019-11-05 08:58:37,2019-11-05 09:35:08
面部脂肪粒可以吸出来吗？,2019-11-26 09:51:17,不能,2019-11-03 19:42:33,2019-11-04 00:59:37
吸嘴裡面怎麼清理？,2019-11-16 12:44:06,用棉签,2019-11-16 10:56:52,2019-11-16 12:44:06
你们是吸完用那个小猪酸奶袪黑头还是用完再吸,2019-11-11 21:22:16,一边喝一边吸,2019-11-10 11:48:56,2019-11-10 12:33:28
可以吸痘痘吗？,2019-11-21 17:33:46,吸不出来的,2019-10-22 13:49:11,2019-10-22 15:51:45
真的吸不出黑头吗,2018-09-11 16:19:42,配合导出液挺好用的,2018-08-30 09:19:40,2018-08-30 09:19:45
真的可以把黑头吸出来吗  毛孔会不会变大 用了之后怎么样,2019-11-23 13:41:25,可以吸出来黑头啊，再用毛孔收缩水，毛孔不会变大,2019-01-19 15:29:34,2019-01-19 15:29:40
会不会有淤青,2019-10-21 06:50:52,会有红印,2019-10-20 22:52:42,2019-10-21 06:50:52
请问用后毛孔会变得更大吗？有效果吗,2019-11-23 13:41:33,效果挺好的,2018-12-30 09:27:30,2018-12-30 09:27:35
会吸出脸毛吗,2019-11-13 16:22:30,好。把脸毛吸出后脸会痛上几天,2019-10-15 20:26:57,2019-10-15 21:16:00
吸黑头效果怎么样啊，大概用多久会有点效果,2019-10-20 16:02:25,没有用，,2019-10-20 14:56:34,2019-10-20 16:02:25
除了鼻子，可以吸脸上吗？,2019-10-15 21:35:57,可以的，感觉还不错,2019-09-07 11:40:29,2019-09-07 15:13:22
能当洁面仪吗,2019-10-15 21:36:19,不能,2019-10-15 20:27:07,2019-10-15 21:36:19
会有点疼吗,2019-09-27 18:10:13,我跟你说，可以让你非常的有动力。可以让你感动的流泪。,2019-09-27 17:55:58,2019-09-27 18:10:13
这个产品效果如何，质量怎么样，真的能吸出黑头？？？请广大朋友说真话，托就绕道走,2019-11-23 13:41:25,不行,2019-08-14 22:44:39,2019-08-14 23:21:03
用会变成草莓鼻吗？,2019-09-22 14:21:01,不会的，会很干净,2019-09-22 13:25:55,2019-09-22 14:21:01
里面的海绵能换洗吗？,2019-09-27 18:13:13,不能,2019-09-27 17:55:05,2019-09-27 18:13:13
黑头会越吸越多吗？,2019-09-22 14:20:23,不会！,2019-09-22 13:26:37,2019-09-22 14:20:23
能吸得出来吗   黑头,2019-09-14 15:14:30,粉刺能吸一点，黑头不行。,2019-09-14 14:51:23,2019-09-14 15:14:30
能吸出痘痘吗？有人说是杂牌，值不值得购买呀,2019-09-14 16:53:03,能，但是有点痛,2019-07-14 09:05:16,2019-07-14 09:05:20
能不能吸出黑头,2019-03-11 12:46:25,可以的,2019-03-11 12:46:22,2019-03-11 12:46:25
十七岁可以用吗,2019-09-21 23:55:45,可以用，效果不错。,2019-09-13 10:15:20,2019-09-13 10:52:16
你们用那个导黑头的  鼻子什么感觉,2019-11-16 23:26:33,还可以的,2019-11-16 22:00:23,2019-11-16 23:26:33
11对的孩子可以用吗？,2019-09-27 15:53:24,最好别给孩子用。,2019-09-27 13:30:47,2019-09-27 15:53:24
效果怎么样,2019-04-23 20:31:55,一点作用没有！骗人的！,2019-04-21 13:34:55,2019-04-21 13:35:00
里面过滤海绵怎么取出来,2019-11-06 14:17:26,里面是可以拧开换的,2019-11-06 11:44:29,2019-11-06 14:17:26
产品好不好用,2019-03-06 10:38:21,很不错，鼻子上的黑头吸的很干净,2019-03-06 10:38:21,2019-03-06 10:38:25
东西真的好用吗？我的毛孔很大,2019-03-06 13:38:35,好用的，能吸出来，慢慢毛孔就会变小了。,2019-03-06 13:38:35,2019-03-06 13:38:40
能吸出来吗,2019-03-06 10:24:57,可以的，吸的很干净！,2019-03-06 10:24:57,2019-03-06 10:25:00
可以吸脸上其它部位么，除了鼻子以外的地方,2019-04-19 20:42:30,你想吸那里😏😏😏,2019-04-19 20:42:24,2019-04-19 20:42:30
这个有用吗？能吸出来不？,2019-04-16 15:18:50,有用，效果还不错，能吸出来，有清洁的效果,2019-04-16 15:18:46,2019-04-16 15:18:50
声音大吗?,2019-01-19 15:15:08,声音不大，很安静很好,2019-01-19 15:04:20,2019-01-19 15:04:25
额头上的可能可以吸出来,2019-02-19 08:52:06,可以，只要不怕疼,2019-02-19 08:52:06,2019-02-19 08:52:10
小孩可以用吗？？,2019-02-19 08:51:46,小孩，皮肤嫩的最好不要用,2019-02-19 08:51:45,2019-02-19 08:51:50
真的很有效果吗？,2019-04-27 20:09:20,没什么效果可以吸一点油脂出来可能伤皮肤,2019-04-27 20:09:14,2019-04-27 20:09:20
身上的黑头可以吸出来吗,2018-07-17 19:29:49,不能。,2018-07-17 19:29:49,2018-07-17 19:30:00
用完毛孔会变大嘛？ 在哪买收缩毛孔水呢,2019-02-19 08:51:13,把黑头吸出来，在收缩毛孔,2019-01-19 15:13:23,2019-01-19 15:13:25
可以直接吸黑头的吗,2019-01-12 16:06:51,可以,2019-01-12 16:06:51,2019-01-12 16:06:55
能不能吸出黑头,2019-01-19 15:04:48,可以啊，弄一二两次就可以全吸干净了，喜欢可以下单,2019-01-19 15:04:48,2019-01-19 15:04:55
效果怎么样,2019-03-09 15:09:15,没有视频中的那种效果,2019-03-09 15:09:15,2019-03-09 15:09:20
